Downloaded from Ill state water survey; http://www.isws.illinois.edu/data/climatedb/choose.asp?stn=118740&msg=2
Year,Month,Precipitation,Mean
1959,1,2.78,22.4
1959,2,2.79,30.3
1959,3,3.53,40.4
1959,4,3.04,52.3
1959,5,6.54,66.4
1959,6,1.09,73.9
1959,7,1.54,75.9
1959,8,2.44,78.1
1959,9,3.36,68.8
1959,10,4.53,53.6
1959,11,2.61,34.4
1959,12,2.33,36.2
1959,Total,36.58,52.9
1959,Winter,6.16,25.5
1959,Spring,13.11,53.0
1959,Summer,5.07,76.0
1959,Fall,10.50,52.3
1960,1,1.54,29.3
1960,2,2.82,27.0
1960,3,1.97,25.9
1960,4,3.28,54.7
1960,5,4.14,59.4
1960,6,6.23,69.5
1960,7,2.77,73.7
1960,8,1.32,74.8
1960,9,2.82,71.5
1960,10,2.30,55.9
1960,11,2.05,42.6
1960,12,1.62,25.2
1960,Total,32.86,50.8
1960,Winter,6.69,31.1
1960,Spring,9.39,46.5
1960,Summer,10.32,72.7
1960,Fall,7.17,56.7
1961,1,0.51,24.3
1961,2,2.17,34.6
1961,3,4.59,42.8
1961,4,5.71,46.1
1961,5,5.46,57.5
1961,6,6.47,70.0
1961,7,2.80,75.3
1961,8,1.27,73.9
1961,9,3.92,70.5
1961,10,3.47,56.3
1961,11,3.37,42.0
1961,12,2.36,28.0
1961,Total,42.10,51.8
1961,Winter,4.31,28.0
1961,Spring,15.76,48.8
1961,Summer,10.54,73.1
1961,Fall,10.76,56.2
1962,1,4.21,20.8
1962,2,2.74,29.8
1962,3,2.74,36.4
1962,4,2.47,51.4
1962,5,5.27,69.4
1962,6,2.23,72.2
1962,7,9.57,72.9
1962,8,2.81,72.8
1962,9,1.59,63.8
1962,10,2.41,57.5
1962,11,1.53,42.6
1962,12,0.41,26.6
1962,Total,37.98,51.5
1962,Winter,9.31,26.1
1962,Spring,10.48,52.4
1962,Summer,14.61,72.7
1962,Fall,5.53,54.7
1963,1,0.95,16.6
1963,2,0.96,21.2
1963,3,6.84,43.6
1963,4,2.22,54.5
1963,5,0.90,61.3
1963,6,2.26,73.7
1963,7,4.32,74.1
1963,8,3.55,70.6
1963,9,0.30,67.2
1963,10,1.69,64.5
1963,11,2.02,45.5
1963,12,0.88,18.8
1963,Total,26.89,51.1
1963,Winter,2.32,21.4
1963,Spring,9.96,53.1
1963,Summer,10.13,72.8
1963,Fall,4.01,59.1
1964,1,1.89,30.6
1964,2,1.74,29.6
1964,3,3.97,38.0
1964,4,9.55,53.4
1964,5,0.58,67.3
1964,6,5.20,73.3
1964,7,2.41,75.7
1964,8,2.59,72.7
1964,9,2.18,67.1
1964,10,0.16,53.1
1964,11,3.42,45.4
1964,12,1.79,29.6
1964,Total,35.48,53.1
1964,Winter,4.51,26.2
1964,Spring,14.10,52.9
1964,Summer,10.20,73.9
1964,Fall,5.76,55.2
1965,1,4.13,27.6
1965,2,1.46,29.9
1965,3,2.50,31.5
1965,4,5.64,52.9
1965,5,3.66,68.0
1965,6,3.05,71.0
1965,7,5.12,73.4
1965,8,6.89,71.3
1965,9,5.91,66.9
1965,10,1.96,54.9
1965,11,1.24,44.4
1965,12,2.88,38.0
1965,Total,44.44,52.6
1965,Winter,7.63,29.3
1965,Spring,11.80,50.8
1965,Summer,15.06,71.9
1965,Fall,9.11,55.4
1966,1,0.40,21.9
1966,2,2.07,29.4
1966,3,1.91,41.8
1966,4,4.64,49.2
1966,5,2.99,57.5
1966,6,3.02,72.2
1966,7,1.34,78.7
1966,8,2.97,71.2
1966,9,6.29,64.2
1966,10,1.03,52.5
1966,11,3.52,43.3
1966,12,5.66,30.9
1966,Total,35.84,51.2
1966,Winter,5.35,29.8
1966,Spring,9.54,49.5
1966,Summer,7.33,74.1
1966,Fall,10.84,53.3
1967,1,3.05,29.7
1967,2,1.39,24.7
1967,3,2.51,41.9
1967,4,2.39,53.5
1967,5,4.66,57.5
1967,6,1.55,72.9
1967,7,2.66,72.4
1967,8,1.46,69.0
1967,9,1.54,64.2
1967,10,4.47,53.3
1967,11,2.49,37.9
1967,12,6.63,31.8
1967,Total,34.80,50.9
1967,Winter,10.10,28.6
1967,Spring,9.56,50.9
1967,Summer,5.67,71.4
1967,Fall,8.50,51.8
1968,1,2.31,23.6
1968,2,1.41,25.4
1968,3,1.69,42.8
1968,4,3.31,52.8
1968,5,6.92,58.5
1968,6,6.97,72.8
1968,7,2.83,74.3
1968,8,4.80,73.9
1968,9,1.78,66.6
1968,10,0.64,54.6
1968,11,4.68,41.8
1968,12,2.38,29.7
1968,Total,39.72,51.5
1968,Winter,10.35,27.0
1968,Spring,11.92,51.4
1968,Summer,14.60,73.7
1968,Fall,7.10,54.3
1969,1,3.60,23.7
1969,2,1.02,31.6
1969,3,2.23,34.5
1969,4,6.00,53.4
1969,5,1.71,63.6
1969,6,1.82,69.6
1969,7,2.98,77.4
1969,8,3.30,74.3
1969,9,5.74,66.5
1969,10,5.39,53.8
1969,11,1.88,39.1
1969,12,1.38,28.7
1969,Total,37.05,51.4
1969,Winter,7.00,28.3
1969,Spring,9.94,50.4
1969,Summer,8.10,73.8
1969,Fall,13.01,53.2
1970,1,0.52,18.2
1970,2,0.86,28.1
1970,3,2.30,37.4
1970,4,7.71,53.9
1970,5,1.72,65.9
1970,6,3.26,71.0
1970,7,4.58,74.7
1970,8,3.12,73.2
1970,9,6.99,68.8
1970,10,3.07,55.3
1970,11,1.34,40.6
1970,12,1.01,33.2
1970,Total,36.48,51.8
1970,Winter,2.76,24.9
1970,Spring,11.73,52.4
1970,Summer,10.96,73.0
1970,Fall,11.40,54.9
1971,1,1.03,22.9
1971,2,3.27,29.7
1971,3,1.46,37.1
1971,4,0.70,52.5
1971,5,3.84,60.1
1971,6,1.22,77.1
1971,7,10.96,71.9
1971,8,1.43,71.7
1971,9,4.77,69.9
1971,10,0.72,62.3
1971,11,1.59,43.3
1971,12,6.16,37.4
1971,Total,37.15,53.1
1971,Winter,5.31,28.6
1971,Spring,6.00,49.9
1971,Summer,13.61,73.5
1971,Fall,7.08,58.6
1972,1,0.98,24.5
1972,2,0.83,28.2
1972,3,3.28,38.6
1972,4,4.81,50.9
1972,5,1.40,65.5
1972,6,3.44,68.7
1972,7,2.58,74.0
1972,8,5.71,73.5
1972,9,8.69,67.2
1972,10,2.13,51.4
1972,11,4.17,38.6
1972,12,4.93,27.4
1972,Total,42.95,50.8
1972,Winter,7.97,29.8
1972,Spring,9.49,51.7
1972,Summer,11.73,72.1
1972,Fall,14.99,52.4
1973,1,1.11,29.9
1973,2,0.67,31.8
1973,3,6.55,48.4
1973,4,5.14,51.4
1973,5,3.23,59.8
1973,6,7.05,73.2
1973,7,9.21,76.2
1973,8,3.04,74.5
